MouseGeneID,HumanOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability)
17721,4540,mt-Nd5,-,NADH dehydrogenase subunit 5,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain+, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,11.8627,0.014,1,"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain+, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17719,4538,mt-Nd4,-,NADH dehydrogenase subunit 4,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain+, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,11.8627,0.014,1,"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain+, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17717,4536,mt-Nd2,-,NADH dehydrogenase subunit 2,MitoCarta3.0,"literature, Rickettsial homolog, mito protein domain+, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,11.8627,0.014,1,"literature, Rickettsial homolog, mito protein domain+, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54405,4694,Ndufa1,1810049F12Rik|MWFE,NADH:ubiquinone oxidoreductase subunit A1,MitoCarta3.0,"literature, coexpression+, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,10.6843,0.02,1,"literature, coexpression+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68194,4710,Ndufb4,0610006N12Rik|1300010H20Rik,NADH:ubiquinone oxidoreductase subunit B4,MitoCarta3.0,"literature, mito protein domain+, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,10.5528,0.02,1,"literature, mito protein domain+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17718,4537,mt-Nd3,-,NADH dehydrogenase subunit 3,MitoCarta3.0,"literature, Rickettsial homolog, mito protein domain+, MS/MS",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,8.7778,0.029,1,"literature, Rickettsial homolog, mito protein domain+, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17716,4535,mt-Nd1,-,NADH dehydrogenase subunit 1,MitoCarta3.0,"literature, Rickettsial homolog, mito protein domain, MS/MS",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,3.6141,0.106,1,"literature, Rickettsial homolog, mito protein domain, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17720,4539,mt-Nd4l,-,NADH dehydrogenase subunit 4L,MitoCarta3.0,"literature, Rickettsial homolog, mito protein domain",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,1.477,0.213,1,"literature, Rickettsial homolog, mito protein domain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17722,4541,mt-Nd6,-,NADH dehydrogenase subunit 6,MitoCarta3.0,"literature, Rickettsial homolog, mito protein domain",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,-1.035,0.407,1,"literature, Rickettsial homolog, mito protein domain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68002,135154,Sdhaf4,1110058L19Rik|1700001E18Rik|C6orf57,succinate dehydrogenase complex assembly factor 4,MitoCarta3.0,"targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS",Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,41.3676,0,1,"targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66072,54949,Sdhaf2,0610038F07Rik|AA407634|AW049997,succinate dehydrogenase complex assembly factor 2,MitoCarta3.0,"GFP, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,31.5358,0,1,"GFP, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68332,644096,Sdhaf1,0610010E21Rik|AI430885|AW490662|Lyr|Lyrm8,succinate dehydrogenase complex assembly factor 1,MitoCarta3.0,"literature, targetP signal+, yeast mito homolog, mito protein domain+, induction, coexpression+, MS/MS",Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,26.9478,0.004,1,"literature, targetP signal+, yeast mito homolog, mito protein domain+, induction, coexpression+, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71238,57001,Sdhaf3,0610005M07Rik|4933430A16Rik|Ac|Acn9,succinate dehydrogenase complex assembly factor 3,MitoCarta3.0,"targetP signal, yeast mito homolog++, mito protein domain+, coexpression+, MS/MS",Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,26.1533,0.003,1,"targetP signal, yeast mito homolog++, mito protein domain+, coexpression+, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67680,6390,Sdhb,0710008N11Rik,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,41.8214,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66925,6392,Sdhd,3110001M13Rik|AVLL5809|C78570|PRO19626,"succinate dehydrogenase complex, subunit D, integral membrane protein",MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,Tmito,41.0374,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66052,6391,Sdhc,0610010E03Rik|AI316496|AU019277,"succinate dehydrogenase complex, subunit C, integral membrane protein",MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,Tmito,36.4758,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66945,6389,Sdha,1500032O14Rik|2310034D06Rik|4921513A11|C81073|F|FP|SDH|SDH2|SDHF,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,Tmito,41.8438,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56046,55245,Uqcc1,2310079L17Rik|2410003P15Rik|3110038N19Rik|Bfz|Bfzb|Bfzp|Cbp|Cbp3|Uqcc,ubiquinol-cytochrome c reductase complex assembly factor 1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,27.7674,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66821,617,Bcs1l,9130022O19Rik,BCS1-like (yeast),MitoCarta3.0,"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS+",MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,25.8923,0.003,1,"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75530,90624,Lyrm7,1700024C24Rik|9330147L21Rik,LYR motif containing 7,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++",Matrix,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,25.5501,0.003,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72795,54902,Ttc19,2010204O13Rik|2810460C24Rik|AI505442,tetratricopeptide repeat domain 19,MitoCarta3.0,"literature, APEX_IMS, targetP signal+, mito protein domain, induction, MS/MS+",MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,12.9695,0.011,1,"literature, APEX_IMS, targetP signal+, mito protein domain, induction, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67267,84300,Uqcc2,2900010M23Rik|Cbp|Cbp6|M19|Mnf|Mnf1,ubiquinol-cytochrome c reductase complex assembly factor 2,MitoCarta3.0,"APEX_matrix, GFP, coexpression, MS/MS",MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,1.4248,0.217,1,"APEX_matrix, GFP, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107197,790955,Uqcc3,AI4624|AI462493|Cbp|Cbp4,ubiquinol-cytochrome c reductase complex assembly factor 3,MitoCarta3.0,"literature,coexpression, MS/MS",MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Tnon_mito,0.2768,0.294,0,"coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66694,7386,Uqcrfs1,4430402G14Rik|AI875505,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,41.8598,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66445,1537,Cyc1,2610002H19Rik|AA408921|Cyct1,cytochrome c-1,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,Tmito,44.1268,0,1,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17711,4519,mt-Cytb,-,cytochrome b,MitoCarta3.0,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,Tmito,10.7606,0.02,1,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22272,27089,Uqcrq,1100001F06Rik|1500040F11Rik|5830407L17Rik|9.5kDa|AA959903|QP-|QP-C|Qp|Qpc|Uqcrb|c1502,"ubiquinol-cytochrome c reductase, complex III subunit VII",MitoCarta3.0,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Tmito,40.3296,0,1,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66152,29796,Uqcr10,1110020P15Rik|AA960494|Ucrc,"ubiquinol-cytochrome c reductase, complex III subunit X",MitoCarta3.0,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Tmito,37.6795,0,1,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66576,7388,Uqcrh,2210416J04Rik|2310021J10Rik|2610041P16Rik,ubiquinol-cytochrome c reductase hinge protein,MitoCarta3.0,"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Tmito,34.6159,0,1,"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67530,7381,Uqcrb,2210415M14Rik|QP-|QP-C|QPC|UQBC|UQBP|UQPC,ubiquinol-cytochrome c reductase binding protein,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Tmito,22.6843,0.005,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66594,10975,Uqcr11,0710008D09Rik|AL022707|Uqc|Uqcr,"ubiquinol-cytochrome c reductase, complex III subunit XI",MitoCarta3.0,"literature, targetP signal, mito protein domain+, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Tmito,13.4007,0.012,1,"literature, targetP signal, mito protein domain+, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69802,1353,Cox11,2010004I09Rik,"cytochrome c oxidase assembly protein 11, copper chaperone",MitoCarta3.0,"literature, APEX_IMS, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,Tmito,35.3696,0,1,"literature, APEX_IMS, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12856,10063,Cox17,AI037035|COX1,"cytochrome c oxidase assembly protein 17, copper chaperone",MitoCarta3.0,"literature, APEX_IMS, yeast mito homolog, mito protein domain+, induction, coexpression++, MS/MS++",IMS,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,Tmito,27.8034,0.004,1,"literature, APEX_IMS, yeast mito homolog, mito protein domain+, induction, coexpression++, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52892,6341,Sco1,2610001C07Rik|D11Bwg1310e,SCO1 cytochrome c oxidase assembly protein,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++",MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,Tmito,23.9407,0.003,1,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100126824,9997,Sco2,-,SCO2 cytochrome c oxidase assembly protein,MitoCarta3.0,"literature, APEX_IMS, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,Tmito,15.2897,0.008,1,"literature, APEX_IMS, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68033,90639,Cox19,1810074D02Rik|2810437L13Rik,cytochrome c oxidase assembly protein 19,MitoCarta3.0,"yeast mito homolog, mito protein domain, induction, coexpression+, MS/MS",IMS,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,Tnon_mito,13.9834,0.008,1,"yeast mito homolog, mito protein domain, induction, coexpression+, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226139,1355,Cox15,2900026G05Rik,cytochrome c oxidase assembly protein 15,MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,Tmito,34.661,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70383,1352,Cox10,2410004F01Rik|AU042636,heme A:farnesyltransferase cytochrome c oxidase assembly factor 10,MitoCarta3.0,"literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++",MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,Tmito,20.69,0.004,1,"literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20930,6834,Surf1,0610010F23Rik|Surf|Surf-1,surfeit gene 1,MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,30.304,0.006,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66531,56942,Cmc2,1110046L09Rik|2310061C15Rik|DC13,COX assembly mitochondrial protein 2,MitoCarta3.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,26.8673,0.004,1,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67899,152100,Cmc1,2010110K16Rik|2010312P05Rik|AI596001,COX assembly mitochondrial protein 1,MitoCarta3.0,"APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,25.6131,0.003,1,"APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67892,388753,Coa6,1810063B05Rik|AI447995,cytochrome c oxidase assembly factor 6,MitoCarta3.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,25.4811,0.003,1,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66272,51241,Cox16,1810020G14Rik|1810055I05Rik|BB388670,cytochrome c oxidase assembly protein 16,MitoCarta3.0,"APEX_IMS, GFP, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS+",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,18.7404,0.003,1,"APEX_IMS, GFP, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76178,493753,Coa5,1700001A24Rik|6330578E17Rik|Pet19|Pet191,cytochrome C oxidase assembly factor 5,MitoCarta3.0,"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, MS/MS",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,18.4051,0.003,1,"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68020,84334,Coa8,1700081D05Rik|2810002N01Rik|Ap|Apop-1|Apop1|Apopt1,cytochrome c oxidase assembly factor 8,MitoCarta3.0,"literature, targetP signal+, mito protein domain+, coexpression+",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,16.0936,0.005,1,"literature, targetP signal+, mito protein domain+, coexpression+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231430,285521,Cox18,BC038311,cytochrome c oxidase assembly protein 18,MitoCarta3.0,"literature, targetP signal+, yeast mito homolog++, mito protein domain, coexpression",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,15.2806,0.008,1,"literature, targetP signal+, yeast mito homolog++, mito protein domain, coexpression",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68185,51287,Coa4,5330414O08Rik|AI115477|AW047259|Chchd8|E2ig2,cytochrome c oxidase assembly factor 4,MitoCarta3.0,"yeast mito homolog++, mito protein domain, MS/MS",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,8.2,0.03,1,"yeast mito homolog++, mito protein domain, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66278,389203,Smim20,1110067B18Rik|1810013D10Rik|MITRAC7|N28078,small integral membrane protein 20,MitoCarta3.0,"literature,targetP signal, coexpression, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tnon_mito,7.9681,0.031,1,"targetP signal, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66359,116228,Cox20,2310005N03Rik|Fam3|Fam36a,cytochrome c oxidase assembly protein 20,MitoCarta3.0,"literature, APEX_IMS, GFP, yeast mito homolog++, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,7.5671,0.032,1,"literature, APEX_IMS, GFP, yeast mito homolog++, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66343,80775,Tmem177,2300008B03Rik,transmembrane protein 177,MitoCarta3.0,"targetP signal, coexpression, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tnon_mito,7.5042,0.032,1,"targetP signal, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100503890,100131801,Pet100,2900053A13Rik,PET100 homolog,MitoCarta3.0,"literature, yeast mito homolog++, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,6.4192,0.045,1,"literature, yeast mito homolog++, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56695,25953,Pnkd,2210013N15Rik|2810403H05Rik|AI854243|Brp|Brp17|MNCb-5687|MR-1|Tahccp2,paroxysmal nonkinesiogenic dyskinesia,MitoCarta3.0,"literature,targetP signal, mito protein domain, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,4.6301,0.068,0,"targetP signal, mito protein domain, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100048644,100303755,Pet117,Gm20571,PET117 homolog,MitoCarta3.0,"literature, yeast mito homolog, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,2.3811,0.154,1,"literature, yeast mito homolog, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69893,65260,Coa7,2010305A19Rik|AI451324|D4Ertd796|D4Ertd796e|Sel|Selrc1,cytochrome c oxidase assembly factor 7,MitoCarta3.0,"literature, APEX_IMS, mito protein domain, coexpression, MS/MS",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,2.0577,0.174,1,"literature, APEX_IMS, mito protein domain, coexpression, MS/MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72140,84902,Cep89,2610507L03Rik|Ccdc123,centrosomal protein 89,MitoCarta3.0,"literature, targetP signal",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,-2.5259,0.501,1,"literature, targetP signal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
